"year","population"
1990,8695562
1991,8738833
1992,8772275
1993,8801777
1994,8828375
1995,8853087
1996,8875396
1997,8895216
1998,8912913
1999,8928176
2000,8944935
2001,8961129
2002,8973544
2003,8982214
2004,8982860
2005,8980415
2006,8977954
2007,8973450
2008,8969421
2009,8961594
2010,8944598.89314003
2011,8928399.97382627
2012,8911664.72716737
2013,8893742.31990714
2014,8874724.17474234
2015,8854599.51240264
2016,8833416.22591241
2017,8811266.45244599
2018,8788140.62222899
2019,8764003.79911037
2020,8738914.313825
2021,8712904.58365219
2022,8686003.41999191
2023,8658247.60847874
2024,8629648.23407331
2025,8600179.01413253
2026,8569824.25527078
2027,8538597.3987134
2028,8506514.07426455
2029,8473583.55060416
2030,8439786.44417855
